Product name,Price (€),Product category,Use category
Judas' ear - Mu er (hei),10.9,Mushroom; TMC Herbs,Others
Jujube fruit - Da zao,10.9,TMC Herbs,Fatigue and Energy; Female balance
Kadsura Pepper stem - Hai feng teng,9.6,TMC Herbs,Articulations and muscles
Kale Powder – Antioxidant & Nourishing SuperGreen,12.5,Others,Calm and well-being; Fatigue and Energy
Kelp - Kun bu,7.9,TMC Herbs,Beauty and slimming
King oyster mushroom - Xing bao gu,8.3,Mushroom,Fatigue and Energy
Knotgrass - Bian xu,6.9,TMC Herbs,Detox and drainer; Urinary comfort
Knotweed creeper - Ye jiao teng,9.5,TMC Herbs,Calm and well-being
Kudzu roots - Ge gen,9.9,TMC Herbs,Detox and drainer; Respiratory comfort
Laurel - Laurier,4.9,Bulk plantes,Others
Lavender flowers Bio - Xun yi cao,9.9,Bio; Flower infusions; TMC Herbs,Calm and well-being
Lemon Balm Leaves Cut Bio,9.9,Bio; Bulk plantes,Others
Lemon Scented Thyme Leaves Bio,7.9,Bio,Others
Lemongrass - Citronnelle,9.9,Bulk plantes,Others
Lian qiao,16.6,Plant powder,Others
Lian qiao bai du wan,28.9,Others,Respiratory comfort
Licorice - Gan cao,11.9,TMC Herbs,Digestion
Licorice sticks Bio,9.9,Bio; Bulk plantes,Digestion
Lily Flowers - Bai he hua,7.9,Flower infusions; TMC Herbs,Respiratory comfort
Lily bulb - Bai he,14.6,TMC Herbs,Calm and well-being; Respiratory comfort
Lime Tree Sapwood Cut Bio,8.9,Bio; Bulk plantes,Others
Lindera root - Wu yao,9.8,TMC Herbs,Female balance
Lion's Mane - Hou tou gu,11.9,Mushroom,Calm and well-being; Fatigue and Energy
Lipid Balance Herbal Tea - Jiang zhi tang,10.9,Homemade blends,Cardiovascular health
Lobelia - Ban bian lian,4.9,Others,Detox and drainer
Longan fruit - Long yan rou,11.9,TMC Herbs,Fatigue and Energy
Lophatherum leaves - Dan zhu ye,7.3,TMC Herbs,Urinary comfort
Loquat Leaf - Pi pa ye,6.8,TMC Herbs,Respiratory comfort
Lotus flowers - He Hua,8.8,Others,Circulation
Lotus rhizome - Ou jie,9.6,TMC Herbs,Others
Lotus seeds - Lian zi,10.7,TMC Herbs,Calm and well-being; Fatigue and Energy
Lotus sprouts - Lian zi xin,8.9,TMC Herbs,Calm and well-being
Lycopus lucidus - Ze lan,9.3,TMC Herbs,Others
Lysimachia herb - Jin qian cao,7.9,TMC Herbs,Digestion
Magnolia Buds - Xin yi hua,11.7,TMC Herbs,Respiratory comfort
Mai ya sheng,15.2,Plant powder,Others
Maitake - Hui shu hua,10.4,Mushroom,Fatigue and Energy
Malva nut tree - Pang da hai,9.8,TMC Herbs,Respiratory comfort
Mandarine peel - Chen pi,9.7,TMC Herbs,Respiratory comfort
Mao Yan Mei tea - Mao yan mei cha,7.6,Tea,Digestion; Fatigue and Energy
Marigold flowers - Jin zhan ju,8.9,Flower infusions; TMC Herbs,Circulation; Detox and drainer
Marshmallow Roots Cut Bio - Racine de Guimauve,7.9,Bio; Bulk plantes,Others
Matricaire chinese - Ye ju hua,10.9,Flower infusions; TMC Herbs,Others
Memory and Concentration Herbal Tea - Yuan zhi chang pu san,13.8,Homemade blends,Calm and well-being
Men's Treasure Formula - Nan bao,42.9,Food supplements,Sexual vitality
Menopause Complexe - Relieves physical and emotional symptoms associated with (peri-)menopause,37.9,Food supplements,Female balance
Menstrual Comfort Formula - Tong jing wan,37.9,Food supplements,Female balance
Millettia root and vine - Ji xue teng,27.7,TMC Herbs,Articulations and muscles
Mobility formula - Chai hu jian zhou wan,37.9,Food supplements,Articulations and muscles
Mood Formula - Liu wei xiao yao san,37.9,Others,Female balance
Morille du Yunnan: A Rare Treasure for Vitality and Immunity,7.4,Mushroom,Others
Morinda root - Ba ji tian,9.8,TMC Herbs,Male balance
Motherwort Herb - Yi mu cao,9.8,TMC Herbs,Female balance
Mu gua wan,26.9,Others,Articulations and muscles
Mulberry Leaf Cut Bio,17.9,Bio,Others
Mulberry Leaves - Sang ye,8.9,TMC Herbs,Fatigue and Energy
Mulberry tree stems - Sang zhi,9.7,TMC Herbs,Articulations and muscles
Nail health Herbal Bath - Hu jia fang,31.9,Homemade blends,Others
Nameko - Hua zi gu,9.8,Mushroom,Fatigue and Energy
Natural Defence Formula - Jin feng san,41.9,Food supplements,Fatigue and Energy
Nettle Root Cut Bio,8.5,Bio; Bulk plantes,Male balance
Nettle Roots Cut Bio,7.9,Bio,Others
Nettle leaves - Feuilles d'Ortie,9.9,Bulk plantes,Articulations and muscles
Night Serenity Herbal Tea,19.8,Others,Calm and well-being
Notoginseng Flowers - San qi hua,10.6,TMC Herbs,Cardiovascular health; Circulation
Notoginseng root - San qi,11.9,TMC Herbs,Circulation
Officinal magnolia - Hou po,9.7,Others,Digestion; Respiratory comfort
Olive tree - Olivier,9.9,Bulk plantes,Others
Opium Poppy Seeds - Graines de Pavot,9.3,Bulk plantes,Cardiovascular health
Oregano / Wild Marjoram Leaves Bio,7.9,Bio,Others
Organic Milk Thistle Whole Seeds,6.9,Bio; Bulk plantes,Digestion
Organic St. John’s wort cut aerial parts,9.9,Bulk plantes,Calm and well-being
Organic blackcurrant fruits,9.9,Bio; Bulk plantes,Others
Organic chicory root cut,6.9,Bulk plantes,Others
Organic cut eucalyptus leaf,7.9,Bio,Others
Organic hawthorn flowering tops cut,7.9,Bio; Bulk plantes,Others
Organic heather flowers and leaves cut,8.9,Bulk plantes,Others
Organic lady’s mantle cut aerial parts,8.9,Bulk plantes,Others
Organic lemon verbena broken leaves,18.9,Bio; Bulk plantes,Others
Organic marshmallow leaves cut,7.9,Bulk plantes,Respiratory comfort
Organic purple coneflower cut aerial parts,7.9,Bio; Bulk plantes,Others
Organic whole Damask rose buds,9.9,Others,Calm and well-being
Organic whole bitter orange buds,13.9,Bio; Bulk plantes,Others
Organic whole black psyllium seeds,7.9,Bio; Bulk plantes,Others
Organic whole caraway seeds,6.9,Bio; Bulk plantes,Digestion
Organic whole chaste tree fruits,7.9,Bio; Bulk plantes,Others
Organic whole cornflower blossoms,12.9,Bio; Bulk plantes; Flower infusions,Fatigue and Energy
Organic whole eucalyptus leaves,7.9,Bio; Bulk plantes,Respiratory comfort
Organic whole green anise fruits,9.9,Bio; Bulk plantes,Others
Organic whole guarana seeds,11.9,Bio; Bulk plantes,Beauty and slimming; Fatigue and Energy
Organic whole linden bracts,17.9,Bio; Bulk plantes,Calm and well-being
Organic whole mallow flower,11.9,Bio,Digestion
Organic wild garlic chopped leaves,9.9,Bulk plantes,Others
Orthosiphon,9.8,Others,Beauty and slimming; Detox and drainer
Oxyphylla seeds - Yi zhi ren,11.6,TMC Herbs,Male balance
Oyster mushroom - Ping gu,8.3,Mushroom,Fatigue and Energy
Painful Periods Herbal Tea - Tong jing zhi tong tang,9.9,Homemade blends,Female balance
Papaya - Papayer,9.7,Bulk plantes,Others
Passionflower Cut Bio,8.9,Bio; Bulk plantes,Calm and well-being
Patchouli - Guang huo xiang,7.9,TMC Herbs,Digestion
Peaceful Night Herbal Tea - Gan mai da zao tang,9.9,Homemade blends,Calm and well-being
Peach pectin - Tao jiao,12.9,Others,Digestion
Peach tree flowers - Tao hua,6.5,Flower infusions; TMC Herbs,Others
Peanut Skin - Hua sheng yi,6.8,TMC Herbs,Circulation
Pearl powder - Zhen zhu fen,35.9,Others,Beauty and slimming
Pei lan,15.2,Plant powder,Others
Pensée sauvage,9.8,Bulk plantes,Beauty and slimming
Peony flower - Mu dan hua,7.9,Flower infusions,Female balance
Peppermint - Bo he,7.3,TMC Herbs,Others
Peppermint Aerial Parts Cut Bio,7.9,Bio,Others
Perilla Leaves - Zi su ye,7.9,TMC Herbs,Digestion
Perilla Seeds - Zi su zi,10.9,TMC Herbs,Respiratory comfort
Peruvian ginseng,11.9,TMC Herbs,Sexual vitality
Phlegm Formula - Qing fei qu tan wan,38.9,Food supplements,Respiratory comfort
Pine Knot - Song jie,9.9,TMC Herbs,Articulations and muscles
Plum - Wu Mei,9.8,Others,Digestion; Respiratory comfort
Po chaï pills - Bao ji wan,27.9,Others,Digestion
Polypore Versicolor - Yun zhi,9.9,Mushroom,Fatigue and Energy
Poppy Petals - Pétales de Coquelicot,6.8,Bulk plantes,Others
Poria cocos - Fu ling,9.9,TMC Herbs,Detox and drainer
Post Prandial Herbal Tea - Xiao shi tang,10.9,Homemade blends,Digestion
Poudre de perle - Zhen zhu fen,35.9,Food supplements,Others
Premium Black Goji Berries – The King of Anthocyanins - Hei gou qi,14.9,TMC Herbs,Fatigue and Energy
"Premium Goji Berries (Gou qi zi) – Fruit of Eternal Youth – Antioxidant, Detoxifying, and Revitalizing",11.9,TMC Herbs,Fatigue and Energy
Preparation for mulled wine,9.8,Homemade blends,Others
Prepared Three leaf lemon - Zhi qiao (fu chao),9.9,TMC Herbs,Digestion
Prostate Herbal Tea - Qian lie tong tang,10.9,Homemade blends,Male balance; Urinary comfort
Protein Digestion Herbal Tea - Mu gua xiao shi tang,9.9,Homemade blends,Others
Pu gong ying,14.8,Plant powder,Others
Pu-erh White Tea - Pu er (bai),9.8,TMC Herbs; Tea,Beauty and slimming
Pu-erh Yellow tea - Pu er (huang),9.8,TMC Herbs; Tea,Beauty and slimming
Pulse Generating Decoction - Huang qi sheng mai yin,14.99,Homemade blends,Fatigue and Energy
Pulse and Life Decoction - Sheng mai yin,20.9,Homemade blends,Cardiovascular health
Pumpkin Seeds Bio,8.9,Bio,Others
Pumpkin seeds - Nan gua zi,9.9,TMC Herbs,Male balance; Urinary comfort
Purple Gromwell - Zi cao,9.7,TMC Herbs,Beauty and slimming
Purple rosebuds - Zi mei gui hua,11.7,Flower infusions,Calm and well-being
Purslane - Ma chi xian,7.8,TMC Herbs,Female balance
Qian lie xian wan,28.9,Others,Male balance; Urinary comfort
Qiang huo,19.0,Plant powder,Others
Qing fei pai du tang,19.9,Others,Respiratory comfort
Qing kong tang,29.9,Others,Fatigue and Energy
Quackgrass - Chiendent,9.9,Bulk plantes,Others
Queen of the Meadow - Reine-des-Près,9.7,Bulk plantes,Others
Quince - Mu gua,9.9,TMC Herbs,Articulations and muscles; Digestion
Racine d'iris tigré - Tigger Iris roots - She gan,29.2,TMC Herbs,Respiratory comfort
Radish seeds - Lai fu zi,9.3,TMC Herbs,Digestion
Radix Bupleuri - Chai hu,6.3,TMC Herbs,Calm and well-being
Raspberry - Fu pen zi,9.9,Bulk plantes,Others
Ratanhia - Ratanhia,9.5,Bulk plantes,Circulation
Red Vine - Vigne Rouge,10.9,Bulk plantes,Others
